iter	Passed	Remaining
0	133	13183
1	134	6614
2	137	4456
3	140	3372
4	145	2771
5	148	2324
6	150	2000
7	153	1765
8	155	1577
9	158	1423
10	160	1302
11	162	1188
12	164	1100
13	166	1022
14	169	958
15	171	901
16	174	850
17	176	805
18	179	764
19	181	726
20	184	694
21	187	663
22	190	636
23	192	610
24	195	586
25	197	562
26	200	541
27	203	522
28	205	503
29	208	487
30	210	469
31	213	453
32	216	438
33	218	423
34	220	409
35	223	398
36	226	386
37	229	375
38	231	362
39	234	352
40	237	342
41	240	331
42	242	322
43	245	312
44	248	303
45	250	293
46	252	285
47	255	277
48	257	268
49	259	259
50	262	252
51	264	244
52	266	236
53	268	228
54	270	221
55	273	215
56	276	208
57	278	201
58	281	195
59	284	189
60	286	182
61	288	176
62	290	170
63	292	164
64	295	158
65	297	153
66	299	147
67	303	142
68	305	137
69	308	132
70	311	127
71	313	121
72	315	116
73	318	111
74	320	106
75	322	101
76	325	97
77	327	92
78	329	87
79	332	83
80	334	78
81	336	73
82	338	69
83	341	65
84	343	60
85	346	56
86	348	52
87	351	47
88	353	43
89	355	39
90	357	35
91	360	31
92	363	27
93	365	23
94	368	19
95	371	15
96	373	11
97	375	7
98	380	3
99	383	0
